CPD_UNIT,STAR1,FIRST_NAME,LAST_NAME,MI,RANK
016,344,TERENCE,FORBES JR,P,LIEUTENANT OF POLICE
212,2616,VERNARD,ROSS,,SERGEANT OF POLICE
124,10275,EMANUEL,MUHAMMAD,,POLICE OFFICER
177,1359,CHARLES,MAIDA,V,SERGEANT OF POLICE
016,19432,GARY,CAIN,T,POLICE OFFICER
014,19821,ROBERT,ROMERO,J,POLICE OFFICER
022,1812,EDWARD,HURLEY,F,SERGEANT OF POLICE
606,20993,LAWRENCE,HERHOLD,J,PO AS DETECTIVE
024,12339,ROBERT,DWORAK,J,POLICE OFFICER
051,10309,MARK,FARMER,B,POLICE OFFICER
620,20024,RICHARD,GLENKE,A,PO AS DETECTIVE
050,5600,STANLEY,KUPRIANCZYK,H,POLICE OFFICER
211,404,DION,BOYD,,COMMANDER
610,21230,THOMAS,KARPINSKI,L,PO AS DETECTIVE
051,1968,RICHARD,ALVAREZ,D,SERGEANT OF POLICE
012,12422,RUBEN,RAMIREZ,R,POLICE OFFICER
163,920,TINA,PERILLI,M,SERGEANT OF POLICE
020,2332,LEONARD,FICHT,K,SERGEANT OF POLICE
376,8703,PATRICIA,DARCY,M,POLICE OFFICER
060,2223,RAUL,MORENO,,SERGEANT OF POLICE
018,6463,MICHAEL,RULE,A,POLICE OFFICER
009,268,THOMAS,WIECZOREK,E,LIEUTENANT OF POLICE
001,19961,SCOTT,PLEBANSKI,E,POLICE OFFICER
011,13877,TERRI,CONWAY ,M,POLICE OFFICER
701,3603,STEVEN,LIPKIN,E,POLICE OFFICER
005,8862,DEXTER,FOWLER,F,POLICE OFFICER
126,40,ANTHONY,ESCAMILLA,J,CAPTAIN OF POLICE
620,20608,JANICE,GOVERN,R,PO AS DETECTIVE
610,20716,PAMELA,HUDSON,F,PO AS DETECTIVE
022,3964,MARYANN,MIOTK,,POLICE OFFICER
610,20369,GERALDINE,JOHNSON,,PO AS DETECTIVE
051,11905,FRANCIS,DE PEDER,N,POLICE OFFICER
018,8740,JESSE,RESENDEZ III,,POLICE OFFICER
015,532,WILLIAM,BETANCOURT,,LIEUTENANT OF POLICE
019,8111,ROBERT,BALESH,J,POLICE OFFICER
620,20157,CHRISTOPH,MEADERS,D,PO AS DETECTIVE
211,17961,JEFFREY,WALKER,L,POLICE OFFICER
012,96,STEPHEN,CHUNG,C,COMMANDER
024,2650,GEORGE,MELANIS,T,SERGEANT OF POLICE
008,7789,MAUREEN,O NEILL,C,POLICE OFFICER
008,715,GERALD,KOCH,J,LIEUTENANT OF POLICE
050,4491,JACK,LARSON,W,POLICE OFFICER
124,14883,THOMAS,WALSH,V,POLICE OFFICER
277,18682,STEVEN,RUZAS,J,PO ASGN EVID. TECHNI
051,19529,LUIS,MARIN,A,POLICE OFFICER
016,1980,JOHN,CZARNIK,P,SERGEANT OF POLICE
017,17869,JOHNNY,ESTRADA,R,POLICE OFFICER
630,20761,MILORAD,SOFRENOVIC,M,PO AS DETECTIVE
015,849,JAMES,RAFFAE,J,SERGEANT OF POLICE
015,6555,KEVIN,MANGERICH,M,POLICE OFFICER
163,1754,DEBORAH,MOLLOY,A,SERGEANT OF POLICE
022,666,FREDERICK,MELEAN,R,LIEUTENANT OF POLICE
008,14313,ANTHONY,MARTIN,J,POLICE OFFICER
050,6029,SCOTT,DAHLSTROM,M,POLICE OFFICER
001,1554,MARIA-LYN,SEGINA,K,SERGEANT OF POLICE
018,217,TIMOTHY,WEIGLEIN,R,LIEUTENANT OF POLICE
020,15703,SCOT,PEMBERTON,R,POLICE OFFICER
020,11347,ALEX,GOMEZ,,POLICE OFFICER
008,19147,PAUL,DUFFY,G,POLICE OFFICER
014,18860,JESUS,SANCHEZ,M,POLICE OFFICER
180,1869,MARK,BAXTROM,P,SERGEANT OF POLICE
620,21100,JOHN,GREGOIRE,D,PO AS DETECTIVE
022,2383,BRIAN,O CONNOR,T,SERGEANT OF POLICE
123,1245,AARON,CHATMAN,D,SERGEANT OF POLICE
017,10096,KIRK,STRAUSS,A,POLICE OFFICER
311,12774,JAMES,JAGIELSKI,J,POLICE OFFICER
311,828,NICK,ZATTAIR,,SERGEANT OF POLICE
121,17426,JUDY,ISAAC,E,POLICE OFFICER
012,13692,PAUL,HUERTA,,POLICE OFFICER
121,2548,JORGE,RIVERA,L,SERGEANT OF POLICE
059,2703,MILTON,STOREY,D,PO/MARINE OFFICER
384,21500,DAVID,UTING,P,PO AS DETECTIVE
014,17600,CESAR,ECHEVERRIA,F,PO/FIELD TRNING OFF
014,9038,MARILYN,GOMEZ,,POLICE OFFICER
050,2377,RICK,NIGRO,J,SERGEANT OF POLICE
022,8537,DERRICK,SMITH,F,POLICE OFFICER
124,986,KATHLEEN,LOUGHRAN,M,SERGEANT OF POLICE
005,19788,LENORA,BOLTON,V,POLICE OFFICER
701,15738,ARTHUR,DAVIS JR,,POLICE OFFICER
166,800,DANIEL,BOHAN,M,SERGEANT OF POLICE
016,3004,RICHARD,HEINOSCH,R,POLICE OFFICER
630,20066,DANIEL,SMITH,J,PO AS DETECTIVE
018,19646,MICHAEL,OBUCHOWSKI,R,POLICE OFFICER
376,1033,MICHAEL,MUSZYNSKY,W,SERGEANT OF POLICE
212,817,ALVIN,JONES,,SERGEANT OF POLICE
116,2997,PATRICK,SHANNON JR,P,POLICE OFFICER
180,20345,OSCAR,ARTEAGA,,PO AS DETECTIVE
604,21311,KATHERINE,CROW,M,PO AS DETECTIVE
020,299,KEVIN,KENDZIOR,G,LIEUTENANT OF POLICE
102,17406,JOSE,JARA,,POLICE OFFICER
610,20007,ROBERT,GRAVES,J,PO AS DETECTIVE
124,13241,MARGARITO,RAMIREZ JR,,POLICE OFFICER
007,196,DAVID,SHOWERS,,LIEUTENANT OF POLICE
017,19583,KEITH,SCHUMAN,G,POLICE OFFICER
017,418,JAMES,RYLE,P,LIEUTENANT OF POLICE
145,13002,MARC,LUIKEY,J,POLICE OFFICER
353,2164,CHARLES,RHEIN,W,SERGEANT OF POLICE
008,1877,CHARLES,DOUGHERTY,F,SERGEANT OF POLICE
016,10279,CAROL,CLAFFORD,A,POLICE OFFICER
004,14741,ZARAK,GUNTER,D,POLICE OFFICER
193,208,JAMES,SANCHEZ,R,COMMANDER
024,14258,EDWARD,MC GUIRE,P,POLICE OFFICER
020,5308,HAROLD,ROBINSON,,PO/FIELD TRNING OFF
005,9036,ANDRE,DENNIS,,POLICE OFFICER
211,6425,ROBIN,COOPER,R,POLICE OFFICER
704,16426,DANIEL,CLAYBOURNE,J,POLICE OFFICER
059,934,XAVIER,DELGADO,J,SERGEANT OF POLICE
211,2177,JOSE,ROSARIO,,SERGEANT OF POLICE
050,18665,BRIAN,CAMPBELL,P,PO/EXP DET CAN HAND
008,19551,KELVIN,MC CULLOUGH,L,POLICE OFFICER
009,19973,ANTONIO,PUENTES,G,POLICE OFFICER
018,10691,ADRIENNE,SEIBER,N,POLICE OFFICER
177,20970,DANIEL,GILLESPIE,J,PO AS DETECTIVE
050,18966,ZORAN,MIUCIN,,POLICE OFFICER
126,21,DAVID,HARRIS,G,CAPTAIN OF POLICE
024,818,DEAN,BARNEY,R,SERGEANT OF POLICE
620,21242,CHRISTOPHER,TENTON,L,PO AS DETECTIVE
620,20965,MICHAEL,BERNICHIO,J,PO AS DETECTIVE
620,20286,BRIAN,FERGUSON,J,PO AS DETECTIVE
181,20764,DAVID,ROBERTS,W,PO AS DETECTIVE
016,2613,GREGORY,HOFFMAN,E,SERGEANT OF POLICE
019,9796,WILSON,TORRES JR,,POLICE OFFICER
025,5294,JOHN,SCHOESSLING,P,POLICE OFFICER
543,19049,JOSE,MARTINEZ,C,POLICE OFFICER
010,14618,MICHAEL,HAYES,A,POLICE OFFICER
001,454,MICHAEL,NECKERMANN,S,LIEUTENANT OF POLICE
002,11195,DARREN,BORUM,E,POLICE OFFICER
018,12305,DAVID,SMITH,A,POLICE OFFICER
009,18534,MELVIN,FULLER,,POLICE OFFICER
168,19245,CHRISTOPH,GRIGGS,D,POLICE OFFICER
145,11771,SELLERS,WILLIAMS III,L,POLICE OFFICER
050,1920,FRANK,PIERRI,,SERGEANT OF POLICE
050,2646,PATRICK,CONROY,M,SERGEANT OF POLICE
006,19768,STEVE,ROWE,,POLICE OFFICER
018,9951,OSCAR,SIMMONS,L,PO/FIELD TRNING OFF
004,6223,STEVEN,MALDONADO,,POLICE OFFICER
008,4298,JOHN,LEPKOWSKI,,POLICE OFFICER
001,954,JOSEPH,KIPKA,R,SERGEANT OF POLICE
603,1047,RICHARD,SLIVA,F,SERGEANT OF POLICE
005,1828,VINCENT,JAMES,A,SERGEANT OF POLICE
002,9622,RONALD,HEARD,L,POLICE OFFICER
017,3334,ROBERT,ESPINO,,POLICE OFFICER
025,12987,GEORGE,SCOTT JR,,POLICE OFFICER
012,18660,JONATHAN,WAY,M,POLICE OFFICER
022,2375,CHANTELL,MOORE,M,SERGEANT OF POLICE
024,4023,JAMES,COOPER,M,POLICE OFFICER
006,505,JOHNNY,O DONNELL,,LIEUTENANT OF POLICE
543,10003,DAVID,CHOI,M,POLICE OFFICER
